TempBulboSeco,TempBulboUmido,UmidadeRelativa,PressaoAtmEstacao,DirecaoVento,VelocidadeVentoNebulosidade,incidencia,nivel
1.77719e+01,7.49507e+01,9.11869e+02,1.63516e+01,8.11770e-01,5.66849e+00,4.40000e+00,1.00000e+00
1.98000e+01,6.06699e+01,9.42595e+02,1.43672e+01,2.67509e-01,4.42350e+00,6.06900e+01,1.00000e+00
1.93595e+01,6.61045e+01,9.31120e+02,9.65595e+00,1.34307e+00,5.00643e+00,6.73900e+01,1.00000e+00
1.98606e+01,7.09233e+01,0.00000e+00,1.80021e+01,1.73849e-01,4.81294e+00,2.99700e+01,1.00000e+00
1.87572e+01,8.92160e+01,8.90967e+02,1.26320e+01,6.48516e-01,6.10000e+00,1.53600e+01,1.00000e+00
2.08999e+01,6.04749e+01,9.59652e+02,1.37717e+01,1.85905e+00,3.83767e+00,2.91600e+01,1.00000e+00
1.88400e+01,7.43114e+01,9.17678e+02,1.23457e+01,1.07127e+00,5.77857e+00,4.77000e+00,1.00000e+00
1.84912e+01,8.28577e+01,9.11567e+02,1.76501e+01,2.43158e+00,6.26194e+00,2.51900e+01,1.00000e+00
2.02815e+01,5.83156e+01,9.57727e+02,0.00000e+00,0.00000e+00,6.27398e+00,9.86150e+02,5.00000e+00
2.11621e+01,6.13909e+01,9.55852e+02,6.91050e+00,5.15160e-01,4.29703e+00,1.04150e+02,3.00000e+00
2.01888e+01,7.47224e+01,9.47252e+02,1.61269e+01,1.21859e+00,6.35571e+00,1.52400e+01,1.00000e+00
2.28861e+01,7.58895e+01,9.61326e+02,1.91772e+01,1.53078e+00,5.94247e+00,7.20000e+00,1.00000e+00
1.94743e+01,7.69990e+01,9.41739e+02,1.77769e+01,1.54662e+00,5.47233e+00,4.96500e+01,1.00000e+00
1.83492e+01,6.89315e+01,9.13204e+02,1.18055e+01,1.43264e+00,5.79635e+00,7.83000e+00,1.00000e+00
1.83320e+01,7.18239e+01,9.14100e+02,1.50513e+01,2.08756e+00,5.45095e+00,5.77000e+00,1.00000e+00
2.20650e+01,8.64333e+01,9.35204e+02,1.71278e+01,1.61723e+00,6.50000e+00,4.99600e+01,1.00000e+00
2.07518e+01,5.30559e+01,9.50953e+02,1.16486e+01,3.39658e+00,5.36937e+00,3.72500e+01,1.00000e+00
2.05433e+01,8.02857e+01,9.36211e+02,0.00000e+00,0.00000e+00,8.17727e+00,1.40000e+01,1.00000e+00
2.06810e+01,6.59111e+01,0.00000e+00,1.10898e+01,1.49688e+00,3.09258e+00,1.75300e+01,1.00000e+00
1.94312e+01,6.00584e+01,0.00000e+00,9.79249e+00,1.10373e+00,5.64546e+00,0.00000e+00,0.00000e+00
1.99913e+01,6.76307e+01,9.42532e+02,1.07338e+01,9.62037e-01,5.83230e+00,8.08000e+00,1.00000e+00
2.14271e+01,7.19860e+01,9.44786e+02,1.71597e+01,9.29855e-01,5.53892e+00,7.69230e+02,5.00000e+00
1.86088e+01,7.66795e+01,9.22789e+02,1.10312e+01,4.59762e-01,6.56233e+00,0.00000e+00,0.00000e+00
2.09814e+01,6.09826e+01,0.00000e+00,1.57014e+01,1.54388e+00,4.99977e+00,5.99200e+01,1.00000e+00
1.90937e+01,6.62171e+01,9.27043e+02,2.14182e+01,2.18821e+00,6.33647e+00,5.80600e+01,1.00000e+00
2.03792e+01,6.91909e+01,0.00000e+00,1.18064e+01,1.40795e+00,4.08676e+00,0.00000e+00,0.00000e+00
1.67825e+01,7.40295e+01,0.00000e+00,1.65401e+01,0.00000e+00,6.36507e+00,5.80600e+01,1.00000e+00
1.94218e+01,7.03513e+01,9.08907e+02,1.85769e+01,1.70114e+00,4.87436e+00,5.69900e+01,1.00000e+00
1.90594e+01,6.75050e+01,0.00000e+00,0.00000e+00,0.00000e+00,6.26557e+00,0.00000e+00,0.00000e+00
1.89649e+01,6.91772e+01,9.03045e+02,2.67288e+01,1.66511e+00,5.68584e+00,7.95900e+01,1.00000e+00
2.04440e+01,6.62424e+01,9.34411e+02,1.48028e+01,2.72453e+00,5.16820e+00,8.98400e+01,1.00000e+00
1.81881e+01,6.13059e+01,9.13452e+02,1.50563e+01,9.56304e-01,5.25320e+00,4.12500e+01,1.00000e+00
